央视频道,#genre#
华数4[720x576],http://58.254.14.87:808/hls/67/index.m3u8
华数5[720x576],http://58.254.14.87:808/hls/71/index.m3u8
华数6[768x576],http://58.254.14.87:808/hls/68/index.m3u8
翡翠台[1920x1080],http://58.254.14.87:808/hls/205/index.m3u8
纪实人文[1920x1080],http://58.254.14.87:808/hls/521/index.m3u8
CETV1[1920x1080],http://58.254.14.87:808/hls/514/index.m3u8
CETV2[785x576],http://58.254.14.87:808/hls/515/index.m3u8
CETV4[1920x1080],http://58.254.14.87:808/hls/516/index.m3u8
哈哈炫动[1024x576],http://58.254.14.87:808/hls/213/index.m3u8
金鹰卡通[1920x1080],http://58.254.14.87:808/hls/555/index.m3u8
财富天下[785x576],http://58.254.14.87:808/hls/517/index.m3u8
卡酷少儿[768x576],http://58.254.14.87:808/hls/212/index.m3u8
优漫卡通[1024x576],http://58.254.14.87:808/hls/554/index.m3u8
